xpath, description, valueType, exampleValues, mappingRequired
/rss/channel/item/amg:rights/amg:rightsTerritoryIncludes, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsTerritoryIncludes.html Value as in https://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS#_US", yes
/rss/channel/item/amg:season, Element to express season specific information, xs:complexType, n/a, no
/rss/channel/item/amg:season/amg:broadcastDate, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_dateBroadcast.html, xs:date, "2019-01-01", yes
/rss/channel/item/amg:season/amg:releaseDate, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_dateReleased.html, xs:date, "2020-02-01", yes
/rss/channel/item/amg:season/amg:rights, Element to express rights associated with the media object, xs:complexType, n/a, no
/rss/channel/item/amg:totalNumberOfEpisodes, http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#totalNumberOfGroupMembers, xs:integer, "1", no
/rss/channel/item/amg:season/amg:rights/amg:rightsEndDateTime, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsEndDateTime.html, xs:dateTime, "2019-01-01T00:00:00Z", yes
/rss/channel/item/amg:season/amg:rights/amg:rightsLink, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsLink.html This could point to a rightsLine URL, xs:string, "https://rightsline.com/123456", no
/rss/channel/item/amg:season/amg:rights/amg:rightsStartDateTime, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsStartDateTime.html, xs:dateTime, "2019-01-01T00:00:00Z", yes
/rss/channel/item/amg:season/amg:rights/amg:serviceId, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_serviceId.html, xs:anyUri, "https://metadata.amagi.tv/skos/amagi_ebu_serviceIdCS#_roku", no
/rss/channel/item/amg:season/amg:rights/amg:serviceName, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_serviceName.html, xs:string, "Roku", no
/rss/channel/item/amg:season/amg:rights/amg:serviceType, Service type, xs:enumeration {AVOD SVOD TVOD DTH Cable}, "AVOD", no
/rss/channel/item/amg:season/amg:rights/amg:rightsTerritoryExcludes, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsTerritoryExcludes.html Value as in https://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS#_US", yes
/rss/channel/item/amg:season/amg:rights/amg:rightsTerritoryIncludes, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsTerritoryIncludes.html Value as in https://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS#_US", yes
/rss/channel/item/amg:season/amg:seasonNumber, Season number with first season being 1, xs:integer, "1", no
/rss/channel/item/amg:season/media:title, Season specific title if any See: https://www.rssboard.org/media-rss#media-title, xs:string, "Prison Break", no
/rss/channel/item/amg:season/media:title/@amg:lang, specifies the language of the season title as defiend in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/amg:season/media:description, Short description of the season, xs:string, "A prison drama", no
/rss/channel/item/amg:season/media:description/@amg:lang, the language of the description as specified in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/amg:season/media:thumbnail, Element to declare season thumbnail. Has only attributes and no value, xs:complexType, n/a, no 
/rss/channel/item/amg:season/media:thumbnail/@url, specifies the url of season specific  thumbnail, xs:anyUri, "https://www.example.com/season1.jpg", no
/rss/channel/item/amg:season/media:thumbnail/@height, specifies the height of the thumbnail, xs:integer, "1080", no
/rss/channel/item/amg:season/media:thumbnail/@width, specifies the width of the thumbnail, xs:integer, "1920", no
/rss/channel/item/amg:season/media:credit, Season level credit info https://www.rssboard.org/media-rss#media-credit, xs:complexType, "Tom Cruise", no
/rss/channel/item/amg:season/media:credit/@amg:role, Role as defined in http://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS.rdf See: https://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS#_25.9", yes
